Epoch,Dropout 0.0,Dropout 0.3,Dropout 0.6,Dropout 0.8
1,399.2531,301.6173,306.7431,323.2149
2,196.3306,200.2271,204.3154,229.4185
3,155.6438,157.576,161.6963,191.9283
4,134.5034,138.062,143.4286,170.1954
5,128.871,127.2805,131.8059,160.8057
6,122.2894,118.9713,127.0321,155.5123
7,124.2278,115.9849,121.1911,148.6022
8,125.1296,114.1332,115.9094,143.813
9,126.4028,117.1944,112.8455,142.0072
10,126.9243,114.2709,112.5643,141.5837
11,126.9367,114.9664,111.7557,138.8798
12,126.929,115.149,110.4456,134.7818
13,126.9267,115.222,110.3101,132.6061
14,126.9261,115.2315,108.5075,132.9871
15,126.9259,115.2319,108.3916,130.2359
16,126.9259,115.2323,109.0043,129.3949
17,126.926,115.2322,107.8663,128.3105
18,126.9259,115.2322,108.4943,127.7125
19,126.9259,115.2322,109.0475,126.8411
20,126.9259,115.2322,108.9844,125.6944
21,126.9259,115.2322,108.9049,125.0863
22,126.9259,115.2322,108.9149,124.683
23,126.9259,115.2322,108.9149,124.505
24,126.9259,115.2322,108.9144,124.2602
25,126.9259,115.2322,108.9145,124.1228
26,126.9259,115.2322,108.9146,124.04
27,126.9259,115.2322,108.9146,124.3463
28,126.9259,115.2322,108.9146,124.0564
29,126.9259,115.2322,108.9146,124.4847
30,126.9259,115.2322,108.9146,124.5314
31,126.9259,115.2322,108.9146,124.525
32,126.9259,115.2322,108.9146,124.5238
33,126.9259,115.2322,108.9146,124.5242
34,126.9259,115.2322,108.9146,124.5241
35,126.9259,115.2322,108.9146,124.5241
36,126.9259,115.2322,108.9146,124.5241
37,126.9259,115.2322,108.9146,124.5241
38,126.9259,115.2322,108.9146,124.5241
39,126.9259,115.2322,108.9146,124.5241
40,126.9259,115.2322,108.9146,124.5241
